"Techstack","Links"
"React, Node.js, MongoDB","https://mirza-rafiq.vercel.app/"
"Angular,.NET, SQL Server","https://mirza-rafiq.vercel.app/"
"Vue.js, Ruby on Rails, PostgreSQL","https://mirza-rafiq.vercel.app/"
"Python, Django, MySQL","https://mirza-rafiq.vercel.app/"
"Java, Spring Boot, Oracle","https://mirza-rafiq.vercel.app/"
"Flutter, Firebase, GraphQL","https://mirza-rafiq.vercel.app/"
"WordPress, PHP, MySQL","https://mirza-rafiq.vercel.app/"
"Magento, PHP, MySQL","https://example.com/magento-portfolio"
"React Native, Node.js, MongoDB","https://mirza-rafiq.vercel.app/"
"iOS, Swift, Core Data","https://example.com/ios-portfolio"
"Android, Java, Room Persistence","https://example.com/android-portfolio"
"Kotlin, Android, Firebase","https://example.com/kotlin-android-portfolio"
"Android TV, Kotlin, Android NDK","https://example.com/android-tv-portfolio"
"iOS, Swift, ARKit","https://example.com/ios-ar-portfolio"
"Cross-platform, Xamarin, Azure","https://example.com/xamarin-portfolio"
"Backend, Kotlin, Spring Boot","https://example.com/kotlin-backend-portfolio"
"Frontend, TypeScript, Angular","https://mirza-rafiq.vercel.app/"
"Full-stack, JavaScript, Express.js","https://example.com/full-stack-js-portfolio"
"Machine Learning, Python, TensorFlow","https://example.com/ml-python-portfolio"
"DevOps, Jenkins, Docker","https://example.com/devops-portfolio"
